"","Part","Label","Item","Color"
"1","head","1","skin","#bd8347"
"2","head","1","hair1","#1b0f03"
"3","head","1","eye","#984b11"
"4","head","2","skin","#fbd7c8"
"5","head","2","hair_lines","#ddddd5"
"6","head","2","hair1","#ececec"
"7","head","2","eye","#3f84e4"
"8","clothes","defendant","skin","#bd8347"
"9","clothes","defendant","shirt","#0a8493"
"10","clothes","defendant","pants","#5e5d58"
"11","clothes","defendant","buttons","#e7d456"
"12","clothes","defendant","shoes","#2b2b2b"
"13","head","3","skin","#fae3c7"
"14","head","3","hair1","#a45806"
"15","head","3","eye","#c46122"
"16","head","4","skin","#e9d8c5"
"17","head","4","hair_lines","#2a2a26"
"18","head","4","hair1","#31302b"
"19","head","4","eye","#8d4e1c"
"20","head","4","glasses","#0a0a0a"
"21","head","5","skin","#edd9c1"
"22","head","5","hair_lines","#9e3500"
"23","head","5","hair1","#d8610e"
"24","head","5","eye","#14653a"
"25","clothes","inmate","skin","#edd9c1"
"26","clothes","inmate","shirt","#f8990c"
"27","clothes","inmate","shoes","#2b2b2a"
"28","clothes","judge","skin","#cd9c1"
"29","clothes","judge","shirt","#4f4f4f"
"30","clothes","judge","tie","#ecece1"
"31","clothes","judge","gavel","#845016"
"32","clothes","lawyer","skin","#ecd8c1"
"33","clothes","lawyer","shirt","#e5eff9"
"34","clothes","lawyer","tie","#c80b1b"
"35","clothes","lawyer","suit","#002f83"
"36","clothes","lawyer","shoes","#201209"
"37","clothes","lawyer","file","#c19501"
"38","clothes","police","skin","#f2c083"
"39","clothes","police","hilights","#122769"
"40","clothes","police","suit","#11476b"
"41","clothes","police","shoes","#444748"
"42","clothes","police","accessories","#444748"
"43","clothes","scientist","pants","#0e448d"
"44","clothes","scientist","shirt","#ac5008"
"45","clothes","scientist","coat","#f0ece1"
"46","clothes","scientist","shoes","#171717"
"47","head","6","skin","#bd8247"
"48","head","6","hair2","#9a642e"
"49","head","6","hair_lines","#533a24"
"50","head","6","hair1","#40250a"
"51","head","6","eye","#b56415"
"52","head","7","skin","#8a3e06"
"53","head","7","hair1","#261409"
"54","head","7","hair2","#6d4527"
"55","head","7","hair_lines","#502d13"
"56","head","7","eye","#502d13"
"57","head","8","skin","#ecd8c1"
"58","head","8","hair1","#cac72c"
"59","head","8","eye","#1d6f44"
"60","head","9","skin","#ecd9c1"
"61","head","9","hair1","#f0ece1"
"62","head","10","skin","#fbd7c8"
"63","head","10","hair1","#1b0f03"
"64","head","10","eye","#aac6ec"
"65","head","11","skin","#903d12"
"66","head","11","hair1","#3e1910"
"67","head","11","hair2","#702f0d"
"68","head","11","eye","#6f442a"
"69","head","12","skin","#fbd7c8"
"70","head","12","hair1","#6d1414"
"71","head","12","eye","#098e3d"
"72","head","13","skin","#d88d65"
"73","head","13","hair_lines","#a19251"
"74","head","13","hair1","#ebdc97"
"75","head","13","eye","#2291a4"
"76","head","14","skin","#fbd7c7"
"77","head","14","hair1","#eb8925"
"78","head","14","eye","#1ec57a"
"79","head","16","skin","#6a3013"
"80","head","16","hair1","#635b58"
"81","head","16","eye","#864729"
"82","head","17","skin","#fbd8c8"
"83","head","17","hair1","#391e15"
"84","head","17","eye","#768f98"
"85","head","17","glasses","#0a0a0a"
"86","head","18","skin","#bd8247"
"87","head","18","hair1","#3e190f"
"88","head","18","eye","#342216"
"89","head","19","skin","#fae2c7"
"90","head","19","hair_lines","#e445d7"
"91","head","19","hair1","#1b0f03"
"92","head","19","eye","#980d8c"
"93","clothes","hazmat","eye","#1d682e"
"94","clothes","hazmat","skin","#f7b674"
"95","clothes","hazmat","hair1","#563310"
"96","clothes","hazmat","suit","#f7de31"
"97","clothes","analyst","skin","#f0d6bb"
"98","clothes","analyst","shirt","#9241be"
"99","clothes","analyst","shoes","#af2427"
"100","clothes","analyst","buttons","#c339c7"
"101","clothes","analyst","skirt","#24221f"
"102","clothes","judge","suit","#4f4f4f"
